Dø7,G7♭9,C-6
Gø7,C7♭9,F-6
Cø7,F7♭9,B♭-6
Fø7,B♭7♭9,E♭-6
B♭ø7,E♭7♭9,A♭-6
D#ø7,G#7♭9,C#-6
G#ø7,C#7♭9,F#-6
C#ø7,F#7♭9,B-6
F#ø7,B7♭9,E-6
Bø7,E7♭9,A-6
Eø7,A7♭9,D-6
Aø7,D7♭9,G-6
Dø7,G7♭9,C-7
Gø7,C7♭9,F-7
Cø7,F7♭9,B♭-7
Fø7,B♭7♭9,E♭-7
B♭ø7,E♭7♭9,A♭-7
D#ø7,G#7♭9,C#-7
G#ø7,C#7♭9,F#-7
C#ø7,F#7♭9,B-7
F#ø7,B7♭9,E-7
Bø7,E7♭9,A-7
Eø7,A7♭9,D-7
Aø7,D7♭9,G-7
Dm7b5,G7b13,C-6
Gm7b5,C7b13,F-6
Cm7b5,F7b13,B♭-6
Fm7b5,B♭7b13,E♭-6
B♭m7b5,E♭7b13,A♭-6
D#m7b5,G#7b13,C#-6
G#m7b5,C#7b13,F#-6
C#m7b5,F#7b13,B-6
F#m7b5,B7b13,E-6
Bm7b5,E7b13,A-6
Em7b5,A7b13,D-6
Am7b5,D7b13,G-6
Dm7b5,G7b13,C-7
Gm7b5,C7b13,F-7
Cm7b5,F7b13,B♭-7
Fm7b5,B♭7b13,E♭-7
B♭m7b5,E♭7b13,A♭-7
D#m7b5,G#7b13,C#-7
G#m7b5,C#7b13,F#-7
C#m7b5,F#7b13,B-7
F#m7b5,B7b13,E-7
Bm7b5,E7b13,A-7
Em7b5,A7b13,D-7
Am7b5,D7b13,G-7
